id,state,disease,count,percentage,SI_index
1,Alabama,hives,75,0.13,2.79986666666
1,Alabama,ulcers,67,0.12,-10.0746268657
1,Alabama,wart,66,0.11,1.38954545454
1,Alabama,mesothelioma,64,0.11,4.6653125
1,Alabama,rheumatoid arthritis,64,0.11,36.6759375
1,Alabama,dehydration,60,0.1,-29.5558333333
1,Alabama,alzheimer's disease,57,0.1,5.54964912281
1,Alabama,influenza,57,0.1,-31.7077192982
1,Alabama,crohn's disease,56,0.1,-21.3253571428
1,Alabama,cervical cancer,55,0.09,-39.7245454546
1,Alabama,dandruff,53,0.09,17.2903773585
1,Alabama,skin cancer,52,0.09,-42.5001923077
1,Alabama,smallpox,52,0.09,-27.0184615385
1,Alabama,testicular cancer,52,0.09,-17.6801923077
1,Alabama,cardiovascular disease,51,0.09,-10.3529411765
1,Alabama,psoriasis,50,0.09,12.14
1,Alabama,sclerosis,50,0.09,6.3994
1,Alabama,infectious diseases,48,0.08,7.669375
1,Alabama,rotator cuff,45,0.08,-4.448
1,Alabama,anemia,43,0.07,-6.34651162791
1,Alabama,hemorrhoids,41,0.07,-0.752682926829
1,Alabama,syphilis,41,0.07,4.30926829268
1,Alabama,joint pain,39,0.07,-13.3648717949
1,Alabama,multiple sclerosis,39,0.07,6.44307692308
1,Alabama,bad breath,38,0.07,-46.5642105263
1,Alabama,tooth decay,36,0.06,-32.2225
1,Alabama,traumatic brain injury,36,0.06,-42.5683333333
1,Alabama,freckle,35,0.06,7.76628571429
1,Alabama,osteoarthritis,35,0.06,-11.9582857143
1,Alabama,osteoporosis,34,0.06,5.09382352942
1,Alabama,preterm birth,30,0.05,0.241000000001
1,Alabama,sciatica,30,0.05,-14.5973333333
1,Alabama,borderline personality disorder,29,0.05,-14.0062068966
1,Alabama,sunburn,29,0.05,1.2324137931
1,Alabama,irritable bowel syndrome,23,0.04,-22.9878260869
1,Alabama,neck pain,22,0.04,-20.9881818182
1,Alabama,muscle pain,21,0.04,-16.0557142857
1,Alabama,bone cancer,20,0.03,-9.4245
1,Alabama,erectile dysfunction,20,0.03,-24.102
1,Alabama,asperger syndrome,18,0.03,39.1255555556
1,Alabama,deafness,18,0.03,9.65277777778
1,Alabama,colorectal cancer,17,0.03,-35.8935294118
1,Alabama,ear infections,17,0.03,1.88235294118
1,Alabama,nail biting,17,0.03,19.5170588235
1,Alabama,hemorrhage,16,0.03,5.563125
1,Alabama,hiatal hernia,16,0.03,2.7525
1,Alabama,dermatitis,14,0.02,18.7614285714
1,Alabama,kidney stone,14,0.02,0.379285714286
1,Alabama,celiac disease,12,0.02,-4.31166666667
1,Alabama,gastroesophageal reflux,12,0.02,-31.5391666667
1,Alabama,gynecomastia,12,0.02,1.4825
1,Alabama,conjunctivitis,11,0.02,-5.46181818182
1,Alabama,stomach cancer,11,0.02,-52.5572727273
1,Alabama,tennis elbow,11,0.02,-1.28181818182
1,Alabama,hypothyroidism,10,0.02,9.318
1,Alabama,polycystic ovary syndrome,10,0.02,-5.374
1,Alabama,diabetes mellitus,9,0.02,30.1577777778
1,Alabama,head lice,9,0.02,-3.67555555556
1,Alabama,muscle cramps,9,0.02,-27.5377777778
1,Alabama,muscle fatigue,9,0.02,-42.6433333333
1,Alabama,bladder cancer,8,0.01,-24.6
1,Alabama,diverticulitis,8,0.01,19.5125
1,Alabama,hyperglycemia,8,0.01,14.085
1,Alabama,osteomyelitis,8,0.01,-17.91375
1,Alabama,rosacea,8,0.01,3.86625
1,Alabama,skin rash,8,0.01,-42.7375
1,Alabama,eye problems,7,0.01,-28.7557142857
1,Alabama,ringworm,7,0.01,27.4642857143
1,Alabama,bursitis,6,0.01,-46.0583333333
1,Alabama,hyperthyroidism,6,0.01,0.695
1,Alabama,penis enlargement,6,0.01,16.355
1,Alabama,sexually transmitted disease,6,0.01,-21.1916666667
1,Alabama,sinusitis,6,0.01,22.9
1,Alabama,body dysmorphic disorder,5,0.01,-49.168
1,Alabama,deep vein thrombosis,5,0.01,0.0
1,Alabama,scabies,5,0.01,-11.148
1,Alabama,social anxiety disorder,5,0.01,-18.436
1,Alabama,staphylococcus aureus,5,0.01,0.444
1,Alabama,bedwetting,4,0.01,4.4875
1,Alabama,canker sores,4,0.01,-14.045
1,Alabama,gallstone,4,0.01,-17.74
1,Alabama,juvenile diabetes,4,0.01,9.505
1,Alabama,obsessive compulsive disorder,4,0.01,-82.9475
1,Alabama,renal failure,4,0.01,-43.49
1,Alabama,systemic lupus erythematosus,4,0.01,-40.63
1,Alabama,gallbladder disease,3,0.01,0.0
1,Alabama,propecia,3,0.01,-14.1366666667
1,Alabama,sleep disorder,3,0.01,-13.45
1,Alabama,varicose veins,3,0.01,13.3966666667
1,Alabama,candidiasis,2,0.0,22.63
1,Alabama,herniated discs,2,0.0,0.0
1,Alabama,posttraumatic stress,2,0.0,12.14
1,Alabama,posttraumatic stress disorder,2,0.0,12.14
1,Alabama,urinary tract infection,2,0.0,15.91
1,Alabama,altitude sickness,1,0.0,0.0
1,Alabama,anorexia nervosa,1,0.0,0.0
1,Alabama,carpal tunnel syndrome,1,0.0,36.12
1,Alabama,cradle cap,1,0.0,0.0
1,Alabama,ear problems,1,0.0,5.16
1,Alabama,herpes simplex,1,0.0,0.0
1,Alabama,iron deficiency anemia,1,0.0,0.0
1,Alabama,liver tumour,1,0.0,0.0
1,Alabama,nephropathy,1,0.0,0.0
1,Alabama,peptic ulcer,1,0.0,0.0
1,Alabama,peyronie's disease,1,0.0,0.0
1,Alabama,poliomyelitis,1,0.0,-10.27
1,Alabama,restless legs syndrome,1,0.0,-27.32
1,Alabama,sudden infant death syndrome,1,0.0,-71.84
1,Alabama,acute bronchitis,0,0.0,0.0
1,Alabama,acute respiratory syndrome,0,0.0,0.0
1,Alabama,andropause,0,0.0,0.0
1,Alabama,antisocial personality disorder,0,0.0,0.0
1,Alabama,avoidant personality disorder,0,0.0,0.0
1,Alabama,benign prostatic hyperplasia,0,0.0,0.0
1,Alabama,bovine spongiform encephalopathy,0,0.0,0.0
1,Alabama,chronic childhood arthritis,0,0.0,0.0
1,Alabama,dependent personality disorder,0,0.0,0.0
1,Alabama,dissociative identity disorder,0,0.0,0.0
1,Alabama,dysfunctional uterine bleeding,0,0.0,0.0
1,Alabama,edwards syndrome,0,0.0,0.0
1,Alabama,genitak wart,0,0.0,0.0
1,Alabama,gloerulonephritis,0,0.0,0.0
1,Alabama,gum diseases,0,0.0,0.0
1,Alabama,heal pain,0,0.0,0.0
1,Alabama,heart stroke,0,0.0,0.0
1,Alabama,historic personality disorder,0,0.0,0.0
1,Alabama,infectious mononucleosis,0,0.0,0.0
1,Alabama,irritable male syndrome,0,0.0,0.0
1,Alabama,irritant diaper dermatitis,0,0.0,0.0
1,Alabama,melena,0,0.0,0.0
1,Alabama,mucus in stool,0,0.0,0.0
1,Alabama,muocardinal infraction,0,0.0,0.0
1,Alabama,paranoid personality disorder,0,0.0,0.0
1,Alabama,percasive development disorder,0,0.0,0.0
1,Alabama,peripheral vascular disease,0,0.0,0.0
1,Alabama,post nasal drip,0,0.0,0.0
1,Alabama,premenstrual syndrome,0,0.0,0.0
1,Alabama,reactive attachment disorder,0,0.0,0.0
1,Alabama,schizoid personality disorder,0,0.0,0.0
1,Alabama,streptococcal pharyngitis,0,0.0,0.0
1,Alabama,termination of pregnancy,0,0.0,0.0
1,Alabama,williams syndrome,0,0.0,0.0
2,Alaska,depression,1954,25.87,-26.5453377686
2,Alaska,cancer,1522,20.15,-29.0405190538
2,Alaska,anxiety,1171,15.51,-28.4122032451
2,Alaska,fever,249,3.3,7.0024497992
2,Alaska,acne,223,2.95,-6.31511210762
2,Alaska,burns,177,2.34,-8.36112994346
2,Alaska,headache,175,2.32,-18.0490285714
2,Alaska,flu,163,2.16,-7.58159509202
2,Alaska,diabetes,138,1.83,-15.2900724638
2,Alaska,hiv,126,1.67,-19.2833333333
2,Alaska,autism,119,1.58,16.9194117647
2,Alaska,disabilities,105,1.39,8.61819047619
2,Alaska,aids,86,1.14,1.12895348837
2,Alaska,obesity,79,1.05,-33.0629113924
2,Alaska,brain cancer,72,0.95,-20.2456944445
2,Alaska,scars,65,0.86,0.046
2,Alaska,back pain,63,0.83,-27.32
2,Alaska,prostate cancer,43,0.57,7.86720930233
2,Alaska,pneumonia,41,0.54,-4.58292682927
2,Alaska,epilepsy,37,0.49,12.2832432433
2,Alaska,leukemia,37,0.49,2.9545945946
2,Alaska,breast cancer,36,0.48,-25.4586111111
2,Alaska,allergy,35,0.46,5.76457142857
2,Alaska,asthma,35,0.46,-10.6505714286
2,Alaska,itching,35,0.46,-0.0214285714287
2,Alaska,arthritis,34,0.45,-19.1397058824
2,Alaska,brain tumor,33,0.44,-27.0027272728
2,Alaska,panic attack,28,0.37,-57.235
2,Alaska,snoring,28,0.37,10.1853571429
2,Alaska,memory loss,27,0.36,-14.0933333334
2,Alaska,down syndrome,26,0.34,19.8234615385
2,Alaska,hepatitis,26,0.34,-13.1869230769
2,Alaska,vertigo,24,0.32,13.9945833333
2,Alaska,heartburn,22,0.29,-16.6390909091
2,Alaska,menopause,22,0.29,17.2045454545
2,Alaska,dehydration,21,0.28,-37.2628571429
2,Alaska,fracture,21,0.28,-2.59142857143
2,Alaska,schizophrenia,20,0.26,0.545
2,Alaska,bipolar disorder,19,0.25,-42.8905263158
2,Alaska,diarrhea,18,0.24,-2.77222222222
2,Alaska,fibromyalgia,17,0.23,-2.46117647059
2,Alaska,lung cancer,17,0.23,-57.2041176471
2,Alaska,miscarriage,17,0.23,15.4294117647
2,Alaska,parkinson's disease,17,0.23,3.15411764706
2,Alaska,eating disorders,15,0.2,-15.3453333333
2,Alaska,gout,15,0.2,-11.5373333333
2,Alaska,ovarian cancer,15,0.2,-49.704
2,Alaska,cholesterol,14,0.19,-1.86928571426
2,Alaska,hypertension,14,0.19,3.83928571429
2,Alaska,malaria,12,0.16,-4.02083333333
2,Alaska,rotator cuff,11,0.15,-9.30545454545
2,Alaska,phobia,10,0.13,-27.154
2,Alaska,infertility,9,0.12,-7.38
2,Alaska,wart,9,0.12,6.55111111111
2,Alaska,alzheimer's disease,8,0.11,-14.015
2,Alaska,cardiovascular disease,8,0.11,-37.245
2,Alaska,dyslexia,8,0.11,6.05125
2,Alaska,influenza,8,0.11,-20.155
2,Alaska,personality disorder,8,0.11,-37.4675
2,Alaska,psoriasis,8,0.11,-11.83875
2,Alaska,heart failure,7,0.09,-18.5142857143
2,Alaska,mesothelioma,7,0.09,26.9328571429
2,Alaska,smallpox,7,0.09,51.2614285714
2,Alaska,alopecia,6,0.08,-7.02666666667
2,Alaska,erectile dysfunction,6,0.08,-24.465
2,Alaska,tuberculosis,6,0.08,9.21833333333
2,Alaska,freckle,5,0.07,-24.282
2,Alaska,gonorrhea,5,0.07,32.356
2,Alaska,hives,5,0.07,49.468
2,Alaska,bone cancer,4,0.05,2.945
2,Alaska,cervical cancer,4,0.05,-68.425
2,Alaska,dandruff,4,0.05,-5.825
2,Alaska,infectious diseases,4,0.05,-1.29
2,Alaska,neck pain,4,0.05,-68.755
2,Alaska,osteoporosis,4,0.05,-16.8675
2,Alaska,sclerosis,4,0.05,17.4425
2,Alaska,syphilis,4,0.05,3.7575
2,Alaska,traumatic brain injury,4,0.05,-52.5425
2,Alaska,anemia,3,0.04,-23.5933333333
2,Alaska,bedwetting,3,0.04,-33.7
2,Alaska,deafness,3,0.04,-74.56
2,Alaska,endometriosis,3,0.04,-9.42666666667
2,Alaska,hemorrhoids,3,0.04,-30.1166666667
2,Alaska,multiple sclerosis,3,0.04,11.9833333333
2,Alaska,sleep disorder,3,0.04,-13.3966666667
2,Alaska,sunburn,3,0.04,-16.5033333333
2,Alaska,varicose veins,3,0.04,-29.35
2,Alaska,bad breath,2,0.03,-5.565
2,Alaska,canker sores,2,0.03,0.0
2,Alaska,eye problems,2,0.03,-7.84
2,Alaska,hemorrhage,2,0.03,2.615
2,Alaska,skin cancer,2,0.03,-11.475
2,Alaska,ulcers,2,0.03,-69.83
2,Alaska,altitude sickness,1,0.01,-66.52
2,Alaska,asperger syndrome,1,0.01,0.0
2,Alaska,borderline personality disorder,1,0.01,-40.19
2,Alaska,candidiasis,1,0.01,-61.24
2,Alaska,celiac disease,1,0.01,40.19
2,Alaska,conjunctivitis,1,0.01,56.88
2,Alaska,dermatitis,1,0.01,29.6
2,Alaska,dissociative identity disorder,1,0.01,-42.15
2,Alaska,ear infections,1,0.01,-44.04
2,Alaska,head lice,1,0.01,41.99
2,Alaska,hypothyroidism,1,0.01,-65.97
2,Alaska,kidney stone,1,0.01,-20.23
2,Alaska,melena,1,0.01,0.0
2,Alaska,muscle cramps,1,0.01,-62.49
2,Alaska,nail biting,1,0.01,-82.25
2,Alaska,osteoarthritis,1,0.01,-45.88
2,Alaska,penis enlargement,1,0.01,-65.95
2,Alaska,poliomyelitis,1,0.01,-83.53
2,Alaska,preterm birth,1,0.01,0.0
2,Alaska,rosacea,1,0.01,36.12
2,Alaska,scabies,1,0.01,0.0
2,Alaska,sciatica,1,0.01,80.74
2,Alaska,sexually transmitted disease,1,0.01,0.0
2,Alaska,staphylococcus aureus,1,0.01,0.0
2,Alaska,stomach cancer,1,0.01,-49.39
2,Alaska,tennis elbow,1,0.01,0.0
2,Alaska,testicular cancer,1,0.01,70.44
2,Alaska,tooth decay,1,0.01,-44.04
2,Alaska,acute bronchitis,0,0.0,0.0
2,Alaska,acute respiratory syndrome,0,0.0,0.0
2,Alaska,andropause,0,0.0,0.0
2,Alaska,anorexia nervosa,0,0.0,0.0
2,Alaska,antisocial personality disorder,0,0.0,0.0
2,Alaska,avoidant personality disorder,0,0.0,0.0
2,Alaska,benign prostatic hyperplasia,0,0.0,0.0
2,Alaska,bladder cancer,0,0.0,0.0
2,Alaska,body dysmorphic disorder,0,0.0,0.0
2,Alaska,bovine spongiform encephalopathy,0,0.0,0.0
2,Alaska,bursitis,0,0.0,0.0
2,Alaska,carpal tunnel syndrome,0,0.0,0.0
2,Alaska,chronic childhood arthritis,0,0.0,0.0
2,Alaska,colorectal cancer,0,0.0,0.0
2,Alaska,cradle cap,0,0.0,0.0
2,Alaska,crohn's disease,0,0.0,0.0
2,Alaska,deep vein thrombosis,0,0.0,0.0
2,Alaska,dependent personality disorder,0,0.0,0.0
2,Alaska,diabetes mellitus,0,0.0,0.0
2,Alaska,diverticulitis,0,0.0,0.0
2,Alaska,dysfunctional uterine bleeding,0,0.0,0.0
2,Alaska,ear problems,0,0.0,0.0
2,Alaska,edwards syndrome,0,0.0,0.0
2,Alaska,gallbladder disease,0,0.0,0.0
2,Alaska,gallstone,0,0.0,0.0
2,Alaska,gastroesophageal reflux,0,0.0,0.0
2,Alaska,genitak wart,0,0.0,0.0
2,Alaska,gloerulonephritis,0,0.0,0.0
2,Alaska,gum diseases,0,0.0,0.0
2,Alaska,gynecomastia,0,0.0,0.0
2,Alaska,heal pain,0,0.0,0.0
2,Alaska,heart stroke,0,0.0,0.0
2,Alaska,herniated discs,0,0.0,0.0
2,Alaska,herpes simplex,0,0.0,0.0
2,Alaska,hiatal hernia,0,0.0,0.0
2,Alaska,historic personality disorder,0,0.0,0.0
2,Alaska,hyperglycemia,0,0.0,0.0
2,Alaska,hyperthyroidism,0,0.0,0.0
2,Alaska,infectious mononucleosis,0,0.0,0.0
2,Alaska,iron deficiency anemia,0,0.0,0.0
2,Alaska,irritable bowel syndrome,0,0.0,0.0
2,Alaska,irritable male syndrome,0,0.0,0.0
2,Alaska,irritant diaper dermatitis,0,0.0,0.0
2,Alaska,joint pain,0,0.0,0.0
2,Alaska,juvenile diabetes,0,0.0,0.0
2,Alaska,liver tumour,0,0.0,0.0
2,Alaska,mucus in stool,0,0.0,0.0
2,Alaska,muocardinal infraction,0,0.0,0.0
2,Alaska,muscle fatigue,0,0.0,0.0
2,Alaska,muscle pain,0,0.0,0.0
2,Alaska,nephropathy,0,0.0,0.0
2,Alaska,obsessive compulsive disorder,0,0.0,0.0
2,Alaska,osteomyelitis,0,0.0,0.0
2,Alaska,paranoid personality disorder,0,0.0,0.0
2,Alaska,peptic ulcer,0,0.0,0.0
2,Alaska,percasive development disorder,0,0.0,0.0
2,Alaska,peripheral vascular disease,0,0.0,0.0
2,Alaska,peyronie's disease,0,0.0,0.0
2,Alaska,polycystic ovary syndrome,0,0.0,0.0
2,Alaska,post nasal drip,0,0.0,0.0
2,Alaska,posttraumatic stress,0,0.0,0.0
2,Alaska,posttraumatic stress disorder,0,0.0,0.0
2,Alaska,premenstrual syndrome,0,0.0,0.0
2,Alaska,propecia,0,0.0,0.0
2,Alaska,reactive attachment disorder,0,0.0,0.0
2,Alaska,renal failure,0,0.0,0.0
2,Alaska,restless legs syndrome,0,0.0,0.0
2,Alaska,rheumatoid arthritis,0,0.0,0.0
2,Alaska,ringworm,0,0.0,0.0
2,Alaska,schizoid personality disorder,0,0.0,0.0
2,Alaska,sinusitis,0,0.0,0.0
2,Alaska,skin rash,0,0.0,0.0
2,Alaska,social anxiety disorder,0,0.0,0.0
2,Alaska,streptococcal pharyngitis,0,0.0,0.0
2,Alaska,sudden infant death syndrome,0,0.0,0.0
2,Alaska,systemic lupus erythematosus,0,0.0,0.0
2,Alaska,termination of pregnancy,0,0.0,0.0
2,Alaska,urinary tract infection,0,0.0,0.0
2,Alaska,williams syndrome,0,0.0,0.0
60,American Samoa,depression,587,25.77,-28.2069335605
60,American Samoa,cancer,442,19.4,-32.3252941177
60,American Samoa,anxiety,398,17.47,-28.2834170854
60,American Samoa,fever,79,3.47,-5.40898734178
60,American Samoa,headache,67,2.94,1.52313432836
60,American Samoa,burns,65,2.85,4.20984615385
60,American Samoa,acne,49,2.15,-3.16448979592
60,American Samoa,flu,46,2.02,-19.7610869565
60,American Samoa,autism,40,1.76,13.14375
60,American Samoa,hiv,38,1.67,-26.985
60,American Samoa,scars,36,1.58,14.0325
60,American Samoa,diabetes,31,1.36,9.1864516129
60,American Samoa,obesity,26,1.14,-25.2688461538
60,American Samoa,disabilities,22,0.97,6.41227272727
60,American Samoa,panic attack,22,0.97,-56.5118181818
60,American Samoa,aids,17,0.75,0.54
60,American Samoa,itching,15,0.66,-18.806
60,American Samoa,prostate cancer,15,0.66,-18.1986666667
60,American Samoa,asthma,12,0.53,8.54833333333
60,American Samoa,allergy,11,0.48,-15.3863636364
60,American Samoa,arthritis,11,0.48,-2.96272727273
60,American Samoa,breast cancer,11,0.48,-40.2818181818
60,American Samoa,pneumonia,11,0.48,-3.48181818182
60,American Samoa,back pain,10,0.44,-33.038
60,American Samoa,phobia,10,0.44,-35.881
60,American Samoa,brain cancer,9,0.4,-16.9966666667
60,American Samoa,cholesterol,9,0.4,14.9477777778
60,American Samoa,lung cancer,9,0.4,-53.0333333333
60,American Samoa,diarrhea,8,0.35,11.5175
60,American Samoa,down syndrome,8,0.35,-36.66875
60,American Samoa,fracture,8,0.35,-22.10375
60,American Samoa,personality disorder,7,0.31,-2.92571428571
60,American Samoa,snoring,7,0.31,-22.6871428571
60,American Samoa,heartburn,6,0.26,-10.9266666667
60,American Samoa,memory loss,6,0.26,-15.1983333333
60,American Samoa,testicular cancer,6,0.26,18.5666666667
60,American Samoa,eating disorders,5,0.22,-27.532
60,American Samoa,wart,5,0.22,6.896
60,American Samoa,cervical cancer,4,0.18,-30.1825
60,American Samoa,epilepsy,4,0.18,35.7175
60,American Samoa,gonorrhea,4,0.18,-0.335
60,American Samoa,hives,4,0.18,-0.659999999998
60,American Samoa,influenza,4,0.18,0.3025
60,American Samoa,malaria,4,0.18,-33.255
60,American Samoa,parkinson's disease,4,0.18,8.455
60,American Samoa,syphilis,4,0.18,-13.325
60,American Samoa,alopecia,3,0.13,-12.3266666667
60,American Samoa,cardiovascular disease,3,0.13,-46.6366666667
60,American Samoa,endometriosis,3,0.13,-4.98
60,American Samoa,gout,3,0.13,-17.5166666667
60,American Samoa,hypertension,3,0.13,35.37
60,American Samoa,leukemia,3,0.13,12.82
60,American Samoa,schizophrenia,3,0.13,-21.72
60,American Samoa,smallpox,3,0.13,-36.7433333333
60,American Samoa,tuberculosis,3,0.13,-10.6066666667
60,American Samoa,bipolar disorder,2,0.09,-19.01
60,American Samoa,dandruff,2,0.09,0.0
60,American Samoa,dehydration,2,0.09,43.535
60,American Samoa,heart failure,2,0.09,1.54
60,American Samoa,hemorrhage,2,0.09,-27.115
60,American Samoa,hepatitis,2,0.09,-62.68
60,American Samoa,infertility,2,0.09,-7.68
60,American Samoa,kidney stone,2,0.09,8.575
60,American Samoa,menopause,2,0.09,-75.06
60,American Samoa,miscarriage,2,0.09,34.54
60,American Samoa,psoriasis,2,0.09,-6.435
60,American Samoa,sinusitis,2,0.09,-7.16
60,American Samoa,ulcers,2,0.09,-50.88
60,American Samoa,vertigo,2,0.09,17.0
60,American Samoa,alzheimer's disease,1,0.04,-29.6
60,American Samoa,anemia,1,0.04,-52.67
60,American Samoa,antisocial personality disorder,1,0.04,-20.23
60,American Samoa,bad breath,1,0.04,-34.0
60,American Samoa,body dysmorphic disorder,1,0.04,36.12
60,American Samoa,bone cancer,1,0.04,-42.28
60,American Samoa,borderline personality disorder,1,0.04,61.24
60,American Samoa,brain tumor,1,0.04,0.0
60,American Samoa,canker sores,1,0.04,61.99
60,American Samoa,erectile dysfunction,1,0.04,-17.79
60,American Samoa,fibromyalgia,1,0.04,0.0
60,American Samoa,hemorrhoids,1,0.04,-25.0
60,American Samoa,hypothyroidism,1,0.04,27.32
60,American Samoa,infectious diseases,1,0.04,-65.97
60,American Samoa,joint pain,1,0.04,-51.06
60,American Samoa,mesothelioma,1,0.04,84.79
60,American Samoa,multiple sclerosis,1,0.04,2.58
60,American Samoa,muscle pain,1,0.04,-34.0
60,American Samoa,ovarian cancer,1,0.04,-65.97
60,American Samoa,penis enlargement,1,0.04,-45.27
60,American Samoa,rotator cuff,1,0.04,23.82
60,American Samoa,scabies,1,0.04,-27.55
60,American Samoa,sclerosis,1,0.04,2.58
60,American Samoa,sexually transmitted disease,1,0.04,-59.94
60,American Samoa,skin rash,1,0.04,-65.97
60,American Samoa,tennis elbow,1,0.04,20.23
60,American Samoa,termination of pregnancy,1,0.04,-42.15
60,American Samoa,acute bronchitis,0,0.0,0.0
60,American Samoa,acute respiratory syndrome,0,0.0,0.0
60,American Samoa,altitude sickness,0,0.0,0.0
60,American Samoa,andropause,0,0.0,0.0
60,American Samoa,anorexia nervosa,0,0.0,0.0
60,American Samoa,asperger syndrome,0,0.0,0.0
60,American Samoa,avoidant personality disorder,0,0.0,0.0
60,American Samoa,bedwetting,0,0.0,0.0
60,American Samoa,benign prostatic hyperplasia,0,0.0,0.0
60,American Samoa,bladder cancer,0,0.0,0.0
60,American Samoa,bovine spongiform encephalopathy,0,0.0,0.0
60,American Samoa,bursitis,0,0.0,0.0
60,American Samoa,candidiasis,0,0.0,0.0
60,American Samoa,carpal tunnel syndrome,0,0.0,0.0
60,American Samoa,celiac disease,0,0.0,0.0
60,American Samoa,chronic childhood arthritis,0,0.0,0.0
60,American Samoa,colorectal cancer,0,0.0,0.0
60,American Samoa,conjunctivitis,0,0.0,0.0
60,American Samoa,cradle cap,0,0.0,0.0
60,American Samoa,crohn's disease,0,0.0,0.0
60,American Samoa,deafness,0,0.0,0.0
60,American Samoa,deep vein thrombosis,0,0.0,0.0
60,American Samoa,dependent personality disorder,0,0.0,0.0
60,American Samoa,dermatitis,0,0.0,0.0
60,American Samoa,diabetes mellitus,0,0.0,0.0
60,American Samoa,dissociative identity disorder,0,0.0,0.0
60,American Samoa,diverticulitis,0,0.0,0.0
60,American Samoa,dysfunctional uterine bleeding,0,0.0,0.0
60,American Samoa,dyslexia,0,0.0,0.0
60,American Samoa,ear infections,0,0.0,0.0
60,American Samoa,ear problems,0,0.0,0.0
60,American Samoa,edwards syndrome,0,0.0,0.0
60,American Samoa,eye problems,0,0.0,0.0
60,American Samoa,freckle,0,0.0,0.0
60,American Samoa,gallbladder disease,0,0.0,0.0
60,American Samoa,gallstone,0,0.0,0.0
60,American Samoa,gastroesophageal reflux,0,0.0,0.0
60,American Samoa,genitak wart,0,0.0,0.0
60,American Samoa,gloerulonephritis,0,0.0,0.0
60,American Samoa,gum diseases,0,0.0,0.0
60,American Samoa,gynecomastia,0,0.0,0.0
60,American Samoa,head lice,0,0.0,0.0
60,American Samoa,heal pain,0,0.0,0.0
60,American Samoa,heart stroke,0,0.0,0.0
60,American Samoa,herniated discs,0,0.0,0.0
60,American Samoa,herpes simplex,0,0.0,0.0
60,American Samoa,hiatal hernia,0,0.0,0.0
60,American Samoa,historic personality disorder,0,0.0,0.0
60,American Samoa,hyperglycemia,0,0.0,0.0
60,American Samoa,hyperthyroidism,0,0.0,0.0
